MLM,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA4,EState_VSA7,EState_VSA8,ExactMolWt,FractionCSP3,HeavyAtomCount,HeavyAtomMolWt,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,RingCount,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA7,SlogP_VSA1,SlogP_VSA2,SlogP_VSA5,SlogP_VSA6,TPSA,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState8,fr_Al_COO,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_NH0,fr_NH1,fr_Ndealkylation2,fr_Nhpyrrole,fr_amide,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_para_hydroxylation
26.01,3.259,400.495,5,2,8,3.259,117.37,1.6724769919783493,964.2690594866551,20.0956473593183,16.458141773173516,17.274638354101242,13.511570350697117,9.179102670811055,9.995599251738781,6.144068097528643,7.347263009523356,4.0195267512216635,5.114898688785327,2.8063628497493007,3.686835662382596,0.0,4.794537184071822,5.907179729351506,26.836078371947984,45.89405000414733,20.498130741555613,400.15691162800005,0.35,28.0,376.3120000000001,19.879595570548158,8.879223277111326,4.507575932736464,167.66087641118702,12.482329573434823,12.482329573434823,0.2690778105350743,0.21806951793062868,0.2690778105350743,-0.21806951793062868,3.8774400000000018,109.11990000000003,400.50400000000013,2.0,7.0,0.0,0.0,1.0,3.0,6.0,2.0,8.0,8.0,0.0,0.0,148.0,5.907179729351506,0.0,9.893218992372859,4.9839785209472085,6.06636706846161,51.457501495844326,3.0,20.498130741555613,0.0,34.239705204675076,46.224399452093124,14.790514511606428,34.30228579592662,40.600942761699756,24.26546827384644,89.13000000000001,17.858255511697816,10.93774575706791,2.9834148953771695,1.1604700590787083,7.407276646897408,9.228681773664674,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
29.27,2.169,301.407,2,1,2,2.172,73.47,1.9630843182746511,679.9116544061065,14.982763184195939,12.511888680248868,13.328385261176594,10.041713895658194,7.120825715010608,7.937322295938334,5.529440070671273,6.817185972028868,3.7785026742577483,4.836111328261145,2.666114200326232,3.619016998294814,0.0,4.794537184071822,11.8250857755129,35.1658370528935,32.046575604766076,28.19078112395625,301.124883228,0.375,21.0,282.2629999999999,14.073964359504131,5.483862253091111,2.7847233493315575,128.36849017802123,12.09833677143697,12.09833677143697,0.22854896910357458,0.03544028722600179,0.22854896910357458,-0.03544028722600179,3.3547400000000014,86.87370000000004,301.415,1.0,4.0,0.0,1.0,1.0,2.0,4.0,1.0,5.0,2.0,0.0,0.0,110.0,0.0,0.0,4.794537184071822,4.9839785209472085,19.056471336613843,25.980208536304467,3.0,4.9839785209472085,5.917906046161393,27.315968004984448,39.84416715924897,10.216698334856808,17.43591465621129,22.50243608509315,24.26546827384644,45.230000000000004,20.14067733266146,4.105506792223062,3.06718537414966,0.049890348114554506,7.994109636138405,7.575909050348535,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
5.586,1.593,297.358,5,0,3,1.585,62.45,1.741210625712479,788.7911329790626,14.940946820939052,12.682536932377499,12.682536932377499,10.86450464295571,7.81002307146028,7.81002307146028,5.689814480549289,5.689814480549289,4.2635805379652085,4.2635805379652085,3.161354034549544,3.161354034549544,0.0,0.0,0.0,42.769336830414915,12.13273413692322,49.480424606226606,297.17019360800003,0.4666666666666667,22.0,278.214,13.387575877802021,5.490434179613943,2.175381314162174,128.0520652315033,4.646025053539934,4.646025053539934,0.20741444871798106,0.7120082910982984,0.20741444871798106,0.7120082910982984,1.2044999999999997,85.02700000000004,297.3660000000001,0.0,7.0,0.0,1.0,1.0,3.0,7.0,0.0,7.0,3.0,1.0,1.0,114.0,0.0,0.0,4.899909730850478,0.0,31.18920547353706,23.39234822014832,4.0,30.154144719731743,0.0,13.344558822616634,24.26546827384644,4.899909730850478,62.877926749294616,13.344558822616634,24.26546827384644,62.45,4.851046548248929,18.620721751676385,0.7120082910982984,0.9782856198034771,8.213718635411006,7.546987234963876,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
5.71,4.771,494.652,6,0,5,3.475,92.6,1.3457143537258267,1270.6262515792544,24.578775022443732,20.81343935939765,21.62993594032537,16.841373724180315,12.55972299546133,13.999786324261969,9.786434310247442,11.661213059861936,7.401917252634679,9.55363153087504,5.425606403420505,7.201742772500918,10.023291153407584,8.417796984328938,4.895483475517775,24.34689229837061,43.321939610460284,20.19595515575359,494.24639532800006,0.5,35.0,460.3930000000003,24.0911390033913,9.79377385867449,4.766990165191862,207.57360293180287,13.641141798974243,13.641141798974243,0.24634459304948617,0.28521064289913545,0.24634459304948617,-3.6447857886645294,3.8935600000000035,136.00579999999994,494.6650000000004,0.0,8.0,1.0,1.0,1.0,3.0,7.0,0.0,9.0,5.0,1.0,2.0,186.0,0.0,0.0,4.899909730850478,13.099599919474123,49.091384634321464,45.745588981847106,5.0,29.18297408219501,0.0,63.81264401836766,53.349509892163574,0.0,69.8216375193222,49.05541559602397,41.293685886287435,84.22000000000001,2.7708348370431604,13.260017944122104,3.9851324732344513,0.5046569145412663,12.44684437496001,8.221454524737457,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
93.27,2.335,268.31,3,0,1,2.337,42.43,2.0224911441202087,640.180061455509,14.11251969619286,11.536832706631198,11.536832706631198,9.647867045540842,6.641439059092864,6.641439059092864,5.05129401059808,5.05129401059808,3.3454952045462214,3.3454952045462214,2.390109626646296,2.390109626646296,0.0,4.794537184071822,12.011146117099809,17.000349599664464,32.046575604766076,4.9839785209472085,268.121177752,0.25,20.0,252.18799999999996,12.662581621944494,4.96227458568709,2.2451464063886424,117.56192572471532,12.661905706727136,12.661905706727136,0.258122466897976,0.017598733938019917,0.258122466897976,-0.019074074074073577,2.8177200000000004,77.18250000000003,268.31600000000003,0.0,4.0,0.0,1.0,1.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,102.0,5.907179729351506,0.0,9.77851570501903,0.0,6.06636706846161,43.67639416492469,3.0,4.9839785209472085,0.0,19.95144078712955,53.852425468928196,9.636772684650527,23.53988104395959,22.845177367156438,42.725522485534206,42.43000000000001,18.39632863021752,0.0,2.5841664567061398,0.7418112244897966,9.370329585537919,4.52841584782061,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
27.64,1.335,419.422,4,1,7,1.335,78.95,1.600711536119927,1078.3315245681376,21.413484604514082,16.672254355935085,16.672254355935085,14.417922655570507,10.088405017327485,10.088405017327485,7.705924569885652,7.705924569885652,5.616688088554676,5.616688088554676,3.9261756708500695,3.9261756708500695,22.970411803343836,23.164441647565102,34.164908815561425,31.873588343152214,0.0,5.316788604006331,419.16566265600005,0.47619047619047616,30.0,396.2440000000002,20.30877450554773,8.04251673755237,3.638092834920748,171.14920837377696,14.225165686924967,14.225165686924967,0.25627679675149895,0.0003794231829048478,0.25627679675149895,-1.2021894219283988,2.365500000000001,105.71120000000003,419.4280000000002,1.0,7.0,1.0,1.0,1.0,2.0,5.0,1.0,9.0,7.0,1.0,2.0,160.0,5.907179729351506,0.0,14.383611552215466,4.39041504767482,0.0,31.749653560165648,4.0,14.783797982648164,0.0,38.14594894377801,39.68443138983584,15.48244194970692,48.0254355963601,48.50393761954683,17.05774782414651,80.64000000000001,38.96368730333539,2.6052648563123846,-0.6397901800246675,-3.1579025132502565,0.8231970502975188,1.572374451863539,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0
2.673,2.967,293.343,3,0,2,2.967,68.18,1.7575390210437218,831.0914692766244,14.070703332935972,11.008990328513487,11.825486909441214,10.398979485566358,6.50898789830937,7.388640709564265,4.486096005246131,5.465368313408589,3.1125357406187564,3.950084398322206,2.1562912594883255,2.774304582155173,0.0,0.0,0.0,17.137367822980828,47.863938326441726,16.149027397709855,293.062282972,0.0,21.0,282.263,12.109011382630838,5.02946794600765,2.276135461429831,125.20111270913945,5.550273174479974,5.550273174479974,0.17453332484489292,0.6803269085411943,0.17453332484489292,0.6803269085411943,3.997600000000003,84.66300000000001,293.35100000000006,0.0,4.0,0.0,1.0,1.0,3.0,5.0,0.0,5.0,2.0,0.0,0.0,102.0,0.0,0.0,0.0,9.665781456092393,18.19910120538483,35.73120418951851,4.0,14.76446326439343,0.0,0.0,58.741897321357584,4.736862953800049,14.76446326439343,10.701551691701226,48.040345629656365,39.94,5.769862370874276,6.5130757694619525,0.9359014917695474,2.2487213403880073,11.89532000196773,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0
74.519,-0.946,347.366,7,2,3,-0.723,104.89,2.0942553429615196,642.1232597575353,13.405412915006313,11.680610497281885,11.680610497281885,9.185871848001625,6.572193037093839,6.572193037093839,5.104892684211496,5.104892684211496,3.7170255979227322,3.7170255979227322,2.6393771740845935,2.6393771740845935,0.0,0.0,0.0,42.11765220126751,18.19910120538483,29.638373450830095,257.152812228,0.4,19.0,238.18499999999997,12.23544093091737,4.700805094050269,2.1225655574112716,112.84932916895794,5.285127157344419,5.285127157344419,0.13726147963970292,0.8720294522129841,0.13726147963970292,0.8720294522129841,2.3008000000000006,77.35700000000003,257.33699999999993,0.0,4.0,0.0,1.0,1.0,2.0,4.0,0.0,4.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,4.9839785209472085,6.076020106833881,25.601227742526422,3.0,14.450987899589041,7.04767198267719,6.4208216229260096,30.099525810218637,4.736862953800049,41.69797023536891,12.245226120925937,24.27512131221871,30.29,7.086866496598638,0.0,3.446592498110356,1.936661916309734,6.018046658478206,2.092819824108605,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
73.417,1.259,357.453,5,2,5,-0.373,90.04,1.385560233132231,760.8324950192477,17.932510652501772,15.317678375401089,15.317678375401089,12.75835149307306,9.667261562112744,9.667261562112744,7.251986666757819,7.251986666757819,5.706765889432316,5.706765889432316,4.272259230998817,4.272259230998817,0.0,4.794537184071822,11.8250857755129,56.00240958572134,0.0,41.97625934918675,357.22770848400006,0.6666666666666666,26.0,330.24600000000004,17.206722092049795,7.570866068383422,3.376060262012621,152.94480881924198,12.729433106575964,12.729433106575964,0.22445489968652238,0.003876606198034427,0.22445489968652238,0.003876606198034427,1.1698000000000006,99.89940000000006,357.46200000000005,2.0,8.0,0.0,2.0,0.0,2.0,6.0,2.0,8.0,5.0,2.0,2.0,140.0,0.0,0.0,9.694446914922299,14.951935562841626,6.923737199690624,38.77279930352918,4.0,30.15261241864564,5.917906046161393,38.64886452054263,12.654640149529083,10.216698334856808,69.50862640270167,32.60702369139466,12.654640149529083,90.04,33.34696691951042,3.2009809618291762,1.514413701670612,0.9961746690692401,0.4946192749750645,6.755597761355095,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
52.364999999999995,0.767,294.821,3,1,3,0.388,86.03,2.1951104412649323,480.2502675695442,12.466255326250886,9.518649162679706,11.907571270553614,8.01487388368539,5.456961641253149,8.091486023990743,4.0609651961788185,8.000393641352643,3.0048085368970505,6.613420903043017,1.9448001162198028,5.029198411888712,10.023291153407584,8.417796984328938,6.041840829147961,37.26794193561191,0.0,5.316788604006331,294.0263474,0.6,17.0,279.70899999999995,13.29538834458379,5.237014311699203,2.8215940141858575,110.62932589586704,12.302037351977829,12.302037351977829,0.25209931091479204,0.08530139833711226,0.25209931091479204,-3.378148148148148,1.7739999999999996,70.16950000000004,294.829,1.0,4.0,0.0,1.0,0.0,1.0,4.0,1.0,7.0,3.0,1.0,1.0,96.0,10.023291153407584,0.0,0.0,8.417796984328938,11.600939890232516,38.06389019460039,2.0,9.622004595302565,0.0,23.09266325252206,16.469063152668852,5.316788604006331,38.90203859927547,12.841643245852019,16.3419133144453,49.410000000000004,0.0,3.2249215534979423,0.0,0.0,3.275064484126984,1.7415145152711289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
