id,MLM,HLM
TEST_000,19.212175,36.23193
TEST_001,58.68269,81.42939
TEST_002,29.669357,43.809784
TEST_003,48.64359,66.52
TEST_004,58.709938,78.63949
TEST_005,70.12607,85.84445
TEST_006,16.882078,38.983143
TEST_007,34.545284,54.2396
TEST_008,13.3688545,28.801735
TEST_009,10.451893,31.817944
TEST_010,32.094677,42.494766
TEST_011,48.230137,68.15177
TEST_012,48.43273,63.379345
TEST_013,42.172203,58.93513
TEST_014,12.158929,26.40742
TEST_015,76.306145,94.29406
TEST_016,37.176243,39.263176
TEST_017,40.04791,62.44077
TEST_018,79.48258,81.10035
TEST_019,61.344402,78.27273
TEST_020,16.46019,39.06753
TEST_021,15.686557,32.92484
TEST_022,12.476958,20.515625
TEST_023,35.63581,58.894886
TEST_024,15.817696,25.306395
TEST_025,28.638754,44.607193
TEST_026,23.523022,49.990074
TEST_027,57.021057,76.52039
TEST_028,33.330513,62.539993
TEST_029,50.84841,59.94427
TEST_030,37.849064,57.58443
TEST_031,16.561888,26.640604
TEST_032,16.659042,35.49859
TEST_033,19.700563,34.65385
TEST_034,17.674137,45.016525
TEST_035,17.179735,23.30231
TEST_036,33.279156,57.29334
TEST_037,48.57408,65.56889
TEST_038,31.04479,56.45777
TEST_039,22.071476,41.816456
TEST_040,39.187347,54.390987
TEST_041,60.13628,85.69003
TEST_042,16.066742,21.359123
TEST_043,19.168024,33.96793
TEST_044,18.795473,38.3994
TEST_045,73.38578,84.95979
TEST_046,16.598043,34.80814
TEST_047,16.843256,36.486046
TEST_048,45.83083,52.022022
TEST_049,18.884756,39.77285
TEST_050,60.664127,67.70395
TEST_051,31.885,45.878704
TEST_052,33.19932,51.270927
TEST_053,32.501526,40.65891
TEST_054,24.543837,41.028698
TEST_055,21.370468,41.58867
TEST_056,36.991867,54.298088
TEST_057,40.428436,64.036064
TEST_058,13.577095,21.215036
TEST_059,21.220905,30.908607
TEST_060,26.648315,49.230556
TEST_061,66.7443,83.51383
TEST_062,30.659992,50.611572
TEST_063,61.901253,82.09454
TEST_064,24.631287,51.38844
TEST_065,37.20368,61.532475
TEST_066,55.17304,72.59824
TEST_067,55.040585,78.187706
TEST_068,32.64117,55.217537
TEST_069,29.911022,48.951458
TEST_070,16.640154,37.729378
TEST_071,23.754028,43.76234
TEST_072,30.492645,45.48053
TEST_073,52.864906,75.773094
TEST_074,18.70684,28.664677
TEST_075,61.764305,84.94665
TEST_076,45.45762,78.715904
TEST_077,35.550518,42.67725
TEST_078,51.442516,71.3687
TEST_079,44.563675,48.756344
TEST_080,60.046066,82.40455
TEST_081,40.988712,54.48967
TEST_082,36.869328,57.113255
TEST_083,16.821693,32.120144
TEST_084,37.741676,58.371475
TEST_085,80.88067,96.37815
TEST_086,37.216095,43.381584
TEST_087,80.12708,99.839806
TEST_088,44.493828,58.087524
TEST_089,50.97145,62.087547
TEST_090,36.3317,57.792324
TEST_091,27.338202,46.037888
TEST_092,39.08554,55.712086
TEST_093,24.824612,39.443424
TEST_094,74.9826,90.07477
TEST_095,30.094112,49.130444
TEST_096,69.35972,86.47818
TEST_097,74.60725,72.58275
TEST_098,18.364061,34.887096
TEST_099,17.493979,29.153042
TEST_100,67.91453,81.96696
TEST_101,14.030121,33.114056
TEST_102,60.751812,77.50651
TEST_103,48.436687,72.903725
TEST_104,26.737064,42.085907
TEST_105,48.866188,63.825985
TEST_106,41.795418,49.95822
TEST_107,72.49955,94.39141
TEST_108,45.11453,64.30101
TEST_109,16.154219,34.720936
TEST_110,36.37276,70.6048
TEST_111,24.580715,48.263046
TEST_112,29.225597,37.12103
TEST_113,52.021023,78.08237
TEST_114,41.32864,72.50203
TEST_115,15.736909,32.045753
TEST_116,15.284816,31.889711
